Organisation Name,Section,Costs (Higher),Financial year: End Date
Bundesverband Deutscher Pflanzenzôchter e.V. (BDP e.V.),II - In-house lobbyists and trade/business/professional associations,899999,01/12/2015
SystAG Systemhaus GmbH,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Sennheiser electronic (Sennheiser),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2015
GS1 in Europe,III - Non-governmental organisations,9999,01/12/2015
Syndicat des Fabricants d'Equipements et de Pièces pour Automobiles (SFEPA / FIEV),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Arbeitsgemeinschaft katholisch-sozialer Bildungswerke in der Bundesrepublik Deutschland e.V.. (AKSB),III - Non-governmental organisations,85109,01/12/2015
Cook Medical,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Vereniging Milieudefensie (Milieudefensie),III - Non-governmental organisations,199999,01/01/2017
CSR MANAGER NETWORK (CSRMN),II - In-house lobbyists and trade/business/professional associations,150000,01/12/2016
KAAS Otthon (KAAS Otthon),I - Professional consultancies/law firms/self-employed consultants, -   ,
Eesti Toiduainet__stuse Liit (ETTL),III - Non-governmental organisations,199999,01/01/2017
Vereniging Gasopslag Nederland (VGN),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
DASSAULT AVIATION,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Kois Invest,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
True Sale International GmbH (TSI),II - In-house lobbyists and trade/business/professional associations,500,01/12/2015
RËnne Havn A/S,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
The Association of General Counsel and Company Secretaries working in FTSE 100 Companies (GC100),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
Transfer Pricing Centre Association (TPCA),III - Non-governmental organisations,49999,01/12/2016
Union Luxembourgeoise des Consommateurs (ULC),III - Non-governmental organisations,100000,01/12/2016
Christelijk Nationaal Vakverbond,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
GKN,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
"EPS biotechnology, s.r.o. (EPS)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Arbeitsgemeinschaft Stoffspezifische Abfallbehandlung (ASA e.V.) (ASA e.V.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
International Probiotics Association - Europe (IPA Europe),II - In-house lobbyists and trade/business/professional associations,150000,01/12/2015
Investment Property Forum (IPF),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2016
Advertising Association (AA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Wirtschaftskammer ƒsterreich (WKƒ),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",1999999,01/12/2015
Volkswagen Aktiengesellschaft (VOLKSWAGEN AG),II - In-house lobbyists and trade/business/professional associations,2660000,01/12/2016
Asociaci„n de Productores de EnergÍa Hidroel_ctrica (URWATT),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Aluminium Foil Association e.V. (EAFA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
COPPET,I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2016
Magellan - European Affairs Consultancy (Magellan),I - Professional consultancies/law firms/self-employed consultants,499999,01/12/2016
Elering AS,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2016
Fondation Rovaltain,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",299999,01/12/2016
ENDROIT AVOCAT SELAS,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Association pour le D_veloppement des Initiatives Citoyennes et Europ_ennes (ADICE),III - Non-governmental organisations,740000,01/12/2016
Finnish Freight Forwarding and Logistics Association - Suomen Huolinta- ja Logistiikkaliitto (FIFFLA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
"QVC, Inc.",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
JA Europe (JA Europe),III - Non-governmental organisations,8249999,01/12/2015
Reinsurance Advisory Board (RAB),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
MAW Consulting Michal Wilkolek,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Bundesverband Paket und Expresslogistik e.V. (BIEK),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Asfaltindustrien,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
EU-ASEAN Business Council (EU-ABC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
ASOCIACION ESPA‹OLA DE ANUNCIANTES (AEA),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
Centre for Fine Arts (BOZAR),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",1499999,01/12/2016
Observatoire social europ_en (OSE),"IV - Think tanks, research and academic institutions",799999,01/12/2015
vzw Restart Ferries Oostende (vzw Restart),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Stichting EGI (EGI.eu),III - Non-governmental organisations,49999,01/12/2016
Kennisinstituut Duurzaam Verpakken (KIDV),III - Non-governmental organisations,9999,01/12/2015
Europe External Policy Advisors (EEPA),"IV - Think tanks, research and academic institutions",99999,01/12/2016
Potravinˆ_skˆ komora _esk_ republiky - Federation of the Food And Drink Indurstries of the Czech Republic (PK _R),III - Non-governmental organisations,28000,01/01/2016
The IT Imaging and Printing Industry Europe (EURIMAG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
BEPS Monitoring Group (BMG),III - Non-governmental organisations,9999,01/09/2016
World Horse Welfare,III - Non-governmental organisations,99999,01/12/2016
International Pet & Animal Transportation Association (IPATA),III - Non-governmental organisations,8800,01/12/2016
Vereniging Landelijke Organisatie Dibevo (Dibevo),III - Non-governmental organisations,199999,01/12/2016
Deutsch-Russischer Wirtschaftsbund e.V. (DRUW),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
B&P Merchant Per Le Imprese (B&P Merchant),I - Professional consultancies/law firms/self-employed consultants, -   ,
Bundesverband Deutsche Startups (BVDS),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
Chamber of Commerce of the United States of America,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Comit_ Europ_en des Fabricants dêAppareils de Chauffage et de Cuisine Domestiques (C.E.F.A.C.D.),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
European and Mediterranean Horseracing Federation (EMHF),II - In-house lobbyists and trade/business/professional associations,12000,01/01/2016
SURYS (Surys),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Det ¿kologiske Rëd (Ecocouncil),III - Non-governmental organisations,99999,01/12/2016
Irish Sea Maritime Forum (ISMF),III - Non-governmental organisations,9999,01/06/2017
Alliance for Democracy in Laos (ADL),III - Non-governmental organisations,32000,01/12/2015
"Bettencourt, Da Silva, N. & Associ_s (BSN)",I - Professional consultancies/law firms/self-employed consultants, -   ,
Bund Deutscher Landschaftsarchitekten Landesgruppe Nordrhein-WEstfalen e.V.,II - In-house lobbyists and trade/business/professional associations,200,01/12/2016
Verband ƒffentlicher Versicherer (VƒV),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
British Dental Industry Association (BDIA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
European Mortar Industry Organisation (EMO),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
British Heart Foundation (BHF),III - Non-governmental organisations,24999,01/03/2017
DAIKIN Airconditioning Germany GmbH (DAIKIN),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
CCIFRANCE,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2015
Tarkett,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Europa Insights (EI),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2016
European Union National Institutes of Culture (EUNIC),III - Non-governmental organisations,699999,01/12/2016
Xella BE,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
The Royal United Services Institute for Defence and Security Studies (RUSI),"IV - Think tanks, research and academic institutions",499999,01/03/2017
Sdru_enÍ vlastnÍk_ obecnÍch a soukrom_ch les_ v _R (SVOL),III - Non-governmental organisations,24999,01/12/2016
"Gofio La Molineta, SL (La Molineta)",II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Bund Getr_nkeverpackungen der Zukunft GbR (BGVZ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Joschka Fischer & Company (JF&C),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
Bundesverband Deutscher Inkasso-Unternehmen e.V. (BDIU),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
Fondation contre le Cancer / Stichting tegen Kanker (FCC STK),III - Non-governmental organisations,199999,01/12/2016
Aromates,I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2017
Association of Issuing Bodies (AIB),III - Non-governmental organisations,49999,01/12/2016
Bundesverband Mittelst_ndische Wirtschaft e.V. (BVMW),II - In-house lobbyists and trade/business/professional associations,49999,01/02/2016
European Confederation of Woodworking Industries (CEI-Bois),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Joint Programming Initiative Connecting Climate Knowledge for Europe (JPI Climate),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/06/2017
Associazione Universitaria di Studi Europei (AUSE),"IV - Think tanks, research and academic institutions",16093,01/12/2016
SNB-REACT (React),III - Non-governmental organisations,75000,01/12/2016
EDF Ekoserwis Sp. z o.o. (EDF Ekoserwis),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2016
GeoPost / DPDgroup,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Bundesverband Breitbandkommunikation e.V. (BREKO),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
European Citizen Science Association (ECSA),III - Non-governmental organisations,299999,01/12/2016
Inclusive Business Sweden,III - Non-governmental organisations, -   ,01/12/2015
CarPostal Suisse SA (CarPostal),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2016
